City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kununurra,-15.77,128.73,57.2,25,0,5.55,AU,1595199829
bokoro,12.38,17.06,77.32,72,100,15.7,TD,1595199829
paysandu,-32.32,-58.08,69.01,81,87,9.66,UY,1595199829
along,28.17,94.77,73.98,90,100,3.02,IN,1595199392
saint-michel-des-saints,46.68,-73.92,78.01,8,83,1.01,CA,1595199829
lorengau,-2.02,147.27,83.82,70,76,9.48,PG,1595199389
viedma,-40.81,-63.0,48.99,93,92,4.0,AR,1595199829
alpena,45.06,-83.43,82.4,51,1,10.29,US,1595199730
booue,-0.09,11.94,72.5,90,96,4.0,GA,1595199829
slave lake,55.28,-114.77,64.4,77,75,12.75,CA,1595199631
arica,-18.48,-70.3,60.8,77,34,9.17,CL,1595199829
sao jose da coroa grande,-8.9,-35.15,75.2,85,51,13.0,BR,1595199397
vila,42.03,-8.16,68.0,82,0,3.22,PT,1595199829
manta,-0.95,-80.73,77.0,73,20,12.75,EC,1595199125
hasaki,35.73,140.83,75.99,94,75,8.05,JP,1595199383
narsaq,60.92,-46.05,60.8,38,21,6.93,GL,1595199398
carnarvon,-24.87,113.63,48.2,87,0,8.05,AU,1595199392
hermanus,-34.42,19.23,53.01,96,3,4.0,ZA,1595199374
kahului,20.89,-156.47,87.8,55,20,27.51,US,1595199319
chanhassen,44.86,-93.53,82.4,39,1,13.87,US,1595199830
thompson,55.74,-97.86,75.2,41,75,9.17,CA,1595199376
magadan,59.57,150.8,60.66,62,16,3.87,RU,1595199738
atuona,-9.8,-139.03,79.57,74,15,14.83,PF,1595199383
kuytun,54.34,101.5,48.11,78,14,2.64,RU,1595199830
east london,-33.02,27.91,59.92,65,0,7.52,ZA,1595199381
aleksandrov gay,50.15,48.57,68.77,56,0,5.44,RU,1595199830
sasayama,35.07,135.22,78.8,83,96,1.12,JP,1595199830
fort nelson,58.81,-122.7,73.4,43,75,11.41,CA,1595199830
yumen,40.28,97.2,75.63,19,90,6.44,CN,1595199403
cahokia,38.57,-90.19,93.99,70,1,4.7,US,1595199830
port-de-bouc,43.4,4.98,69.8,88,0,4.7,FR,1595199830
souillac,-20.52,57.52,68.0,77,75,14.99,MU,1595199399
shekhupura,31.71,73.98,80.6,83,75,19.46,PK,1595199830
